school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
York University	Clinical Psychology	Other	Fall 2022	Rejected		Other			
Emory University	English	PhD	Fall 2022	Interview		American			
University Of Illinois Urbana-Champaign	Art History	PhD	Fall 2022	Accepted		International			
University Of California, Santa Cruz	Physics	PhD	Fall 2022	Interview		American			
Stanford University	Education (SHIPS): Data Science	PhD	Fall 2022	Interview	3.3	International	4.0	161.0	166.0
University Of Massachusetts, Amherst	Health Policy And Management	PhD	Fall 2022	Accepted		American			
Harvard University	Population Health Science	PhD	Fall 2022	Interview	3.59	International			
Adelphi University	Clinical Psychology	PhD	Fall 2022	Interview		American			
Northwestern University	Clinical Psychology	PhD	Fall 2022	Interview	3.8	American			
University Of Colorado, Colorado Springs	Clinical Psychology	PhD	Fall 2022	Wait listed		American			
University Of Cambridge	History	PhD	Fall 2022	Accepted		International			
University Of Colorado Denver	Clinical Psychology	PhD	Fall 2022	Wait listed					
Vanderbilt University	Developmental Psychology	PhD	Fall 2022	Rejected		American			
Lewis University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.5	American			
University Of North Carolina	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of Texas At Austin	Women And Gender Studies	Masters	Fall 2022	Rejected		American			
York University	Clinical Psychology	Other	Fall 2022	Rejected	3.36	Other			
University Of Wisconsin-Madison	Astronomy	PhD	Fall 2022	Rejected		American			
City University Of New York (CUNY)	Clinical Psychology	PhD	Fall 2022	Interview		American			
Northwestern University	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of California, Riverside	Chemistry	PhD	Fall 2022	Accepted	3.73	International			
University Of California, Irvine	Public Health	PhD	Fall 2022	Interview		International			
Rice University	Political Science	PhD	Fall 2022	Rejected		International	4.0	162.0	167.0
Duke University	Biology - Ph.D.	PhD	Fall 2022	Rejected		International			
Massachusetts Institute Of Technology (MIT)	Microbiology	PhD	Fall 2022	Interview		American			
Stanford University	Computer Science	PhD	Fall 2022	Interview	4.0	American			
University Of Wisconsin-Madison	Art History	PhD	Fall 2022	Accepted		American			
University Of Wisconsin-Madison	Art History	PhD	Fall 2022	Accepted		American			
Indiana University Bloomington	Classical Studies	Masters	Fall 2022	Accepted		American	4.0	154.0	141.0
Texas A&M University - College Station (TAMU)	Communication	PhD	Fall 2022	Interview	3.93	International	4.0	160.0	169.0
Texas A&M University - College Station (TAMU)	Communication	PhD	Fall 2022	Interview	3.93	International	4.0	160.0	169.0
Stanford University	Aerospace Engineering	PhD	Fall 2022	Rejected		International			
University Of Pennsylvania	Biostatistics	PhD	Fall 2022	Rejected	3.95	International			167.0
Stanford University	Aeronautics	PhD	Fall 2022	Rejected	3.89	International			
University Of California, Irvine	Philosophy	PhD	Fall 2022	Interview		American			
University Of California, Santa Cruz	Computer Science	PhD	Fall 2022	Interview	3.01	International			
UTHealth MD Anderson	Medical Physics	PhD	Fall 2022	Interview	3.9	American			
Georgia Institute Of Technology	Computer Science	PhD	Fall 2022	Interview	3.01	International			
University Of Toronto	Astrophysics	PhD	Fall 2022	Interview	3.8	International			
Stanford University	Astronautics	PhD	Fall 2022	Rejected	3.33	American			
University Of British Columbia	Medical Physics	Masters	Fall 2022	Accepted	3.8	International			
University Of Wisconsin-Madison	Biomedical Data Science	PhD	Fall 2022	Accepted	3.97	American			
University Of North Carolina, Chapel Hill	Marine Science	PhD	Fall 2022	Accepted	3.55	American			
MD Anderson UT Health	GSBS Medical Physics	PhD	Fall 2022	Interview		International			
University Of Southern California	Biostatistics	PhD	Fall 2021	Interview		International			
University College London	Statistics	Masters	Fall 2022	Rejected	3.6	American			
Georgia Institute Of Technology	Mechanical Engineering	Masters	Fall 2022	Accepted	3.93	International	3.5	156.0	170.0
Duke University	Biology	PhD	Fall 2022	Rejected	3.99	American			
Duke University	Biomedical Engineering	PhD	Fall 2022	Interview		International			
University Of Illinois- Urbana Champaign	Biophysics And Quantitative Biology	PhD	Fall 2022	Interview		International			
University Of California, Berkeley	Comparative Literature	PhD	Fall 2022	Wait listed		International			
Clarkson University	Physics	PhD	Fall 2022	Rejected	3.33	American			
University Of Pennsylvania	Genomics And Computational Biology	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Computational Biology	PhD	Fall 2022	Rejected		International			
Ecology And Behavior (EEB), University Of Texas At Austin	Evolution	PhD	Fall 2022	Interview	3.6	International			
University Of Chicago	Computational Neuroscience	PhD	Fall 2022	Rejected		International			
University Of Michigan (Ann Arbor)	Comparative Literature	PhD	Fall 2022	Wait listed		International			
Cornell University	Information Science	PhD	Fall 2022	Interview		International			
University Of Chicago	Biosciences	PhD	Fall 2022	Rejected	3.71	American			
University Of Waterloo	Computer Science	Masters	Fall 2022	Interview		International			
University Of Cambridge	Modern British History	Masters	Fall 2022	Accepted	3.91	American			
University Of Kentucky	Creative Writing Nonfiction	MFA	Fall 2022	Accepted	4.0	American			
University Of Michigan (Ann Arbor)	English Literature	PhD	Fall 2022	Rejected	3.63	American			
University Of Michigan (Ann Arbor)	English Language And Literature	PhD	Fall 2022	Rejected	4.0	American			
University Of Connecticut	English	Masters	Fall 2022	Wait listed	3.67	International			
University Of Michigan (Ann Arbor)	English	PhD	Fall 2022	Rejected		American			
Florida State University (FSU)	Creative Writing Fiction	MFA	Fall 2022	Rejected		American			
University Of Michigan (Ann Arbor)	Sociology	Masters	Fall 2022	Rejected	3.8	International			
Florida State University (FSU)	Creative Writing Poetry	MFA	Fall 2022	Rejected		American			
University Of Michigan (Ann Arbor)	Sociology	PhD	Fall 2022	Rejected		American			
University Of Warwick	Economics	PhD	Fall 2022	Interview		International			
University Of Colorado, Boulder	Political Science	PhD	Fall 2022	Wait listed		International			
University Of Colorado, Boulder	English	Masters	Fall 2022	Accepted	3.73	International			
University Of Rochester	Information Systems	PhD	Fall 2022	Rejected		International			
Tilburg University	Economics	PhD	Fall 2022	Interview		International			170.0
Rice University	Economics	Other	Fall 2022	Interview		Other			
University Of Texas At Austin	Economics	PhD	Fall 2022	Interview		International			
University Of Colorado, Boulder	English	PhD	Fall 2022	Rejected		American			
University Of Washington	Linguistics	PhD	Fall 2022	Interview		American			
Temple University	English	PhD	Fall 2022	Rejected		American			
University Of Colorado, Boulder	English	PhD	Fall 2022	Rejected	3.97	American			
University Of Minnesota-Duluth	Speech Language Pathology	Masters	Fall 2022	Accepted	3.99	American			
Ph.D., Carnegie Mellon University	Human Computer Interaction	PhD	Fall 2022	Rejected	3.9	International			
University Of Kentucky	Creative Writing Fiction	MFA	Fall 2022	Accepted		American			
Adelphi University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.81	American			
University Of Michigan (Ann Arbor)	English	PhD	Fall 2022	Accepted		International			
University Of Southern California	Communication	PhD	Fall 2021	Accepted	3.99	American			
University Of Texas At Austin	Philosophy	PhD	Fall 2022	Accepted	3.96	American	5.0	170.0	167.0
Tufts University	Experimental Psychology	PhD	Fall 2022	Accepted	3.7	American			
University Of Oxford	English	PhD	Fall 2022	Accepted		International			
Carnegie Mellon University	Computational Biology	Masters	Fall 2022	Accepted		International			
Duke University	Neurobiology	PhD	Fall 2022	Rejected	3.8	International			
Case Western Reserve University	Clinical Psychology	PhD	Fall 2022	Accepted		American			
Cornell Tech	Connective Media	Masters	Fall 2022	Wait listed	3.7	International	5.0	167.0	164.0
Indiana University Bloomington	Economics	PhD	Fall 2022	Interview	3.7	International			169.0
Vanderbilt University	Health Policy	PhD	Fall 2022	Accepted		American			
Northeastern University	Speech Language Pathology	Masters	Fall 2022	Interview	3.16	American			
Yeshiva University	Clinical Psychology	PhD	Fall 2022	Accepted		American			
New Mexico Highlands University	Social Work	Masters	Fall 2022	Accepted	4.0	American			
Princeton University	Civil And Environmental Engineering	PhD	Fall 2022	Accepted		American			
The University Of Iowa	Speech Language Pathology	Masters	Fall 2022	Accepted	3.58	American	4.0	158.0	154.0
Duke University	Economics	PhD	Fall 2022	Rejected	3.66	American			170.0
New York University	Creative Writing Fiction	MFA	Fall 2022	Rejected		International			
St Andrews (SASP)	Philosophy	Masters	Fall 2021	Accepted		International			
University Of Victoria	Political Science	PhD	Fall 2022	Rejected		International			
University Of Maryland	Human Computer Interaction	Masters	Fall 2022	Accepted	3.6	American	5.0	164.0	161.0
Rutgers Universityâ€“New Brunswick	Computer Science	Masters	Fall 2022	Rejected		International	4.5	163.0	169.0
University Of Chicago	MAPH East Asian Languages And Civilizations	Masters	Fall 2022	Accepted	3.93	International			
University Of Maryland	Economics	PhD	Fall 2022	Rejected	3.71	International	4.0	155.0	170.0
University Of Iowa	Creative Writing Fiction	MFA	Fall 2022	Rejected	2.87	American			
North Carolina State University	Creative Writing	MFA	Fall 2022	Rejected	2.87	American			
University Of Saskatchewan	Applied Linguistics	PhD	Fall 2022	Rejected	4.0	International			
James Madison University	Speech Language Pathology	Masters	Fall 2022	Rejected	3.75	American			
University Of Pennsylvania	Computer Science	Masters	Fall 2022	Rejected	3.5	International	4.5	156.0	167.0
University Of Alberta	SCCP	Other	Fall 2022	Wait listed	3.4	Other			
EPFL	Life Sciences Engineering	PhD	Fall 2022	Accepted	3.99	International	5.5	168.0	169.0
University Of Oxford	Law	Other	Fall 2022	Accepted		Other			
University Of Southern California	Data Science	Masters	Fall 2022	Accepted	3.7	International			
Columbia University	Journalism	Masters	Fall 2022	Accepted	3.96	American			
Rutgers Universityâ€“New Brunswick	Computer Science	Masters	Fall 2022	Accepted	3.7	International		150.0	166.0
Paris Graduate School Of Mathematics	M1	Masters	Fall 2022	Accepted		International	4.0	154.0	168.0
New York University	Cinema Studies	PhD	Fall 2022	Rejected	3.75	International			
Tinbergen Institute	Economics	Other	Fall 2022	Interview		Other			
Hofstra University	Clinical Psychology	PhD	Fall 2022	Wait listed		American			
City University Of New York (CUNY)	Philosophy	PhD	Fall 2022	Rejected		International			
University Of Toronto	Information Studies	Other	Fall 2022	Accepted		Other			
Swiss Federal Institute Of Technology Lausanne (EPFL)	Robotics	Masters	Fall 2022	Accepted		International			
Gannon University - Ruskin FL	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
University Of Maryland	Economics	PhD	Fall 2022	Rejected	3.7	American		165.0	164.0
Wayne State University	Physics And Astronomy	PhD	Fall 2022	Accepted	3.62	International			
Penn State University	Computer Science	Masters	Fall 2022	Rejected		International			164.0
City University Of New York (CUNY)	Musicology	PhD	Fall 2022	Rejected	3.98	American			
University Of Oxford	Economics	Masters	Fall 2022	Wait listed		International			
University Of Oxford	Economics	PhD	Fall 2022	Wait listed		International			
University Of Florida	Computer Science	Masters	Fall 2022	Accepted	3.9	International	5.0	162.0	165.0
University Of Southern California	Political Science	PhD	Fall 2022	Rejected		International			
University Of Warwick	Finance And Economics	PhD	Fall 2022	Interview		International			
University Of Oxford	MSc In Comparative Social Policy	Masters	Fall 2022	Wait listed		International			
Yale University	Environmental Management	Masters	Fall 2022	Wait listed	3.76	International	4.0	162.0	168.0
Swiss Federal Institute Of Technology Lausanne (EPFL)	Computer Science	Masters	Fall 2022	Rejected		International			
Purdue University - West Lafayette	Electrical And Computer Engineering	Masters	Fall 2022	Accepted	3.5	International	4.5	149.0	163.0
University Of Massachusetts, Amherst	Computer Science	Masters	Fall 2022	Accepted		International			165.0
Miami University (OH)	English	PhD	Fall 2022	Wait listed	4.0	American			
University Of Arizona	Biomedical Engineering	PhD	Fall 2022	Accepted	3.99	International			
London School Of Economics & Political Science (LSE)	Economics	PhD	Fall 2022	Rejected	3.8	International			170.0
Carnegie Mellon University	Computer Science	Masters	Fall 2022	Rejected	4.0	American	4.5	163.0	170.0
Rutgers Universityâ€“New Brunswick	Visual Arts	MFA	Fall 2022	Rejected	3.4	American			
University Of Toronto	Psychology	PhD	Fall 2022	Rejected		International			
New York University	Chemistry	Masters	Fall 2022	Accepted	3.61	American			
University Of South Florida	Speech Language Pathology	Masters	Fall 2022	Accepted	3.89	American	4.0	153.0	140.0
Florida Atlantic University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.89	American	4.0	153.0	140.0
Yale University	Marketing	PhD	Fall 2022	Wait listed		International			
University Of Virginia	Sociology	PhD	Fall 2022	Interview	3.42	American			
York University	Political Science	Other	Fall 2022	Accepted	3.77	Other			
Fordham University	English	Other	Fall 2022	Interview		Other			
